Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical Cases
USA,"111,820,082",,"1,219,487",,"109,814,428","786,167",940
India,"45,035,393",,"533,570",,N/A,N/A,N/A
France,"40,138,560",,"167,642",,"39,970,918",0,
Germany,"38,828,995",,"183,027",,"38,240,600","405,368",N/A
Brazil,"38,743,918",,"711,380",,"36,249,161","1,783,377",N/A
S. Korea,"34,571,873",,"35,934",,"34,535,939",0,
Japan,"33,803,572",,"74,694",,N/A,N/A,N/A
Italy,"26,723,249",,"196,487",,"26,361,218","165,544",22
UK,"24,910,387",,"232,112",,"24,678,275",0,N/A
Russia,"24,124,215",,"402,756",,"23,545,818","175,641",N/A
Turkey,"17,232,066",,"102,174",,N/A,N/A,N/A
Spain,"13,914,811",,"121,760",,"13,762,417","30,634",231
Australia,"11,853,144",,"24,414",,"11,820,014","8,716",3
Vietnam,"11,625,195",,"43,206",,"10,640,971","941,018",
Taiwan,"10,241,523",,"19,005",,"10,222,518",0,
Argentina,"10,128,845",,"130,841",,"9,997,258",746,
Netherlands,"8,635,786",,"22,992",,"8,612,599",195,N/A
Mexico,"7,702,809",,"334,958",,"6,899,865","467,986",N/A
Iran,"7,627,186",,"146,811",,N/A,N/A,
Indonesia,"6,829,221",,"162,063",,"6,647,104","20,054",N/A
Poland,"6,661,991",,"120,598",,N/A,N/A,N/A
Colombia,"6,400,173",,"143,200",,"6,212,152","44,821",342
Greece,"6,101,379",,"37,869",,N/A,N/A,
Austria,"6,081,287",,"22,542",,"6,054,934","3,811",
Portugal,"5,643,062",,"28,126",,"5,614,809",127,61
Ukraine,"5,557,995",,"112,418",,"5,445,577",0,
Chile,"5,384,853",,"64,497",,"5,252,450","67,906",7
Malaysia,"5,278,406",,"37,348",,"5,233,268","7,790",11
Canada,"4,946,090",,"59,034",,"4,881,312","5,744",99
Belgium,"4,861,695",,"34,376",,"4,826,798",521,N/A
Israel,"4,841,772",,"12,707",,"4,798,473","30,592",N/A
DPRK,"4,772,813",,74,,"4,772,739",0,
Thailand,"4,770,149",,"34,586",,"4,692,636","42,927",N/A
Czechia,"4,759,041",,"43,517",,"4,715,206",318,2
Peru,"4,572,667",,"222,161",,"4,350,506",0,4
Switzerland,"4,453,053",,"14,452",,"4,438,309",292,N/A
Philippines,"4,140,383",,"66,864",,"4,067,381","6,138",N/A
South Africa,"4,076,463",,"102,595",,"3,912,506","61,362",192
Romania,"3,529,735",,"68,929",,"3,460,149",657,21
Denmark,"3,183,756",,"8,814",,"3,174,942",0,
Singapore,"3,006,155",,"2,024",,"3,004,131",0,4
Hong Kong,"2,937,609",,"14,924",,"2,916,005","6,680",N/A
Sweden,"2,754,129",,"27,407",,"2,726,492",230,N/A
New Zealand,"2,621,111",,"5,697",,"2,613,791","1,623",
Serbia,"2,615,054",,"18,057",,"2,596,608",389,
Iraq,"2,465,545",,"25,375",,"2,439,497",673,
Hungary,"2,230,232",,"49,048",,"2,152,155","29,029",
Bangladesh,"2,049,377",,"29,493",,N/A,N/A,N/A
Slovakia,"1,877,605",,"21,224",,"1,856,381",0,23
Georgia,"1,861,665",,"17,132",,N/A,N/A,
Jordan,"1,746,997",,"14,122",,"1,731,007","1,868",59
Ireland,"1,734,582",,"9,491",,"1,724,921",170,19
Pakistan,"1,581,936",,"30,664",,"1,538,689","12,583",
Finland,"1,516,117",,"11,958",,"1,503,989",170,N/A
Norway,"1,509,732",,"6,638",,"1,503,094",0,N/A
Kazakhstan,"1,411,831",,"13,848",,"1,383,020","14,963",24
Lithuania,"1,397,806",,"9,897",,"1,387,478",431,N/A
Slovenia,"1,356,546",,"7,100",,"1,349,424",22,N/A
Bulgaria,"1,339,851",,"38,748",,"1,292,944","8,159",22
Croatia,"1,309,728",,"18,687",,"1,258,432","32,609",
Guatemala,"1,291,293",,"20,289",,"1,269,891","1,113",5
Morocco,"1,278,992",,"16,303",,N/A,N/A,N/A
Lebanon,"1,243,838",,"10,952",,"1,087,587","145,299",74
Costa Rica,"1,238,883",,"9,428",,N/A,N/A,N/A
Bolivia,"1,212,131",,"22,407",,"1,177,145","12,579",220
Tunisia,"1,153,361",,"29,423",,N/A,N/A,N/A
Cuba,"1,115,251",,"8,530",,"1,106,660",61,
Ecuador,"1,070,188",,"36,043",,"1,034,145",0,
UAE,"1,067,030",,"2,349",,N/A,N/A,
Panama,"1,059,893",,"8,727",,"1,051,102",64,16
Uruguay,"1,041,111",,"7,664",,"1,030,944","2,503",18
Mongolia,"1,011,496",,"2,284",,"1,009,212",0,N/A
Nepal,"1,003,450",,"12,031",,"991,322",97,
Belarus,"994,037",,"7,118",,"985,592","1,327",
